"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Stellar Burgers UI","Конструктор","","1","0","4","0","0"
"Stellar Burgers UI","Лента заказов","","0","3","0","0","0"
