"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 12 19:52:09 KRAT 2026","Tue May 12 19:52:29 KRAT 2026","20359","tests.ui","test_order_feed","TestOrderFeed","","","При создании заказа счётчик «Выполнено за всё время» увеличивается",""
"passed","Tue May 12 19:51:12 KRAT 2026","Tue May 12 19:51:12 KRAT 2026","62","tests.ui","test_constructor","TestConstructor","","","Переход по клику на «Лента заказов»",""
"broken","Tue May 12 19:53:02 KRAT 2026","Tue May 12 19:53:23 KRAT 2026","20914","tests.ui","test_order_feed","TestOrderFeed","","","После оформления заказа его номер появляется в разделе «В работе»",""
"passed","Tue May 12 19:51:01 KRAT 2026","Tue May 12 19:51:01 KRAT 2026","306","tests.ui","test_constructor","TestConstructor","","","Переход по клику на «Конструктор»",""
"passed","Tue May 12 19:51:32 KRAT 2026","Tue May 12 19:51:53 KRAT 2026","21075","tests.ui","test_constructor","TestConstructor","","","Всплывающее окно закрывается кликом по крестику",""
"failed","Tue May 12 19:52:03 KRAT 2026","Tue May 12 19:52:03 KRAT 2026","620","tests.ui","test_constructor","TestConstructor","","","При добавлении ингредиента счётчик увеличивается",""
"broken","Tue May 12 19:52:36 KRAT 2026","Tue May 12 19:52:56 KRAT 2026","20339","tests.ui","test_order_feed","TestOrderFeed","","","При создании заказа счётчик «Выполнено за сегодня» увеличивается",""
"passed","Tue May 12 19:51:22 KRAT 2026","Tue May 12 19:51:22 KRAT 2026","80","tests.ui","test_constructor","TestConstructor","","","Клик на ингредиент открывает всплывающее окно",""
